GlobalId,LongName,Level,Area,,
1rRjUIj9TEtOC_LrnV4BZj,MEETING ROOM 10P,Level 10,37.78,,
1iwPLhcUfArBhXNUMSzWO8,MEETING ROOM 10P,Level 11,38.45,,
2ntLcF1$98DQcsKvq8abjA,MEETING ROOM 10P,Level 12,39.13,,
2ntLcF1$98DQcsKvq8aYuM,MEETING ROOM 10P,Level 13,37.78,,
2ntLcF1$98DQcsKvq8adC0,MEETING ROOM 10P,Level 15,37.78,,
2ntLcF1$98DQcsKvq8acGl,MEETING ROOM 10P,Level 16,37.78,,
2ntLcF1$98DQcsKvq8afUI,MEETING ROOM 10P,Level 17,37.78,,
2ntLcF1$98DQcsKvq8aeT3,MEETING ROOM 10P,Level 18,37.78,,
2ntLcF1$98DQcsKvq8ahI5,MEETING ROOM 10P,Level 19,38.45,,
2ntLcF1$98DQcsKvq8aa$T,MEETING ROOM 10P,Level 20,39.13,,
2ntLcF1$98DQcsKvq8aZUq,MEETING ROOM 10P,Level 21,37.78,,
0r4MQOxYzBNhcZoTCY2XfC,MEETING ROOM 10P,Level 4,39.13,,
0r4MQOxYzBNhcZoTCY2XNL,MEETING ROOM 10P,Level 5,37.78,,
2maVW5Fa11n9pwdQjvDHsb,MEETING ROOM 10P,Level 7,37.78,,
2maVW5Fa11n9pwdQjvDG0d,MEETING ROOM 10P,Level 8,37.78,,
2maVW5Fa11n9pwdQjvDGPM,MEETING ROOM 10P,Level 9,37.78,,
2ntLcF1$98DQcsKvq8abgz,MEETING ROOM 15P,Level 12,51.09,,
2ntLcF1$98DQcsKvq8aYu9,MEETING ROOM 15P,Level 13,50.52,,
2ntLcF1$98DQcsKvq8adDb,MEETING ROOM 15P,Level 15,50.52,,
2ntLcF1$98DQcsKvq8acGE,MEETING ROOM 15P,Level 16,50.52,,
2ntLcF1$98DQcsKvq8afVu,MEETING ROOM 15P,Level 17,50.52,,
2ntLcF1$98DQcsKvq8aa$K,MEETING ROOM 15P,Level 20,51.09,,
2ntLcF1$98DQcsKvq8aZUl,MEETING ROOM 15P,Level 21,50.52,,
0r4MQOxYzBNhcZoTCY2XfX,MEETING ROOM 15P,Level 4,51.09,,
0r4MQOxYzBNhcZoTCY2XNh,MEETING ROOM 15P,Level 5,50.52,,
2maVW5Fa11n9pwdQjvDHqW,MEETING ROOM 15P,Level 7,50.52,,
2maVW5Fa11n9pwdQjvDG13,MEETING ROOM 15P,Level 8,50.52,,
2maVW5Fa11n9pwdQjvDGVw,MEETING ROOM 15P,Level 9,50.52,,
2ntLcF1$98DQcsKvq8ad_J,MEETING ROOM 25P,Level 14,102.67,,
2maVW5Fa11n9pwdQjvDHYy,MEETING ROOM 25P,Level 6,102.67,,
2ntLcF1$98DQcsKvq8adkP,MEETING ROOM 3P,Level 14,14.93,,
1E$KZaxsz2X8U_T7UEbJrm,MEETING ROOM 3P,Level 6,14.93,,
1rRjUIj9TEtOC_LrnV4BZ$,MEETING ROOM 6P,Level 10,24.63,,
1rRjUIj9TEtOC_LrnV4BZ3,MEETING ROOM 6P,Level 10,24.87,,
1rRjUIj9TEtOC_LrnV4BZ1,MEETING ROOM 6P,Level 10,24.87,,
1iwPLhcUfArBhXNUMSzWQj,MEETING ROOM 6P,Level 11,24.87,,
1iwPLhcUfArBhXNUMSzWQf,MEETING ROOM 6P,Level 11,25.54,,
0WgfJP0B15LwF15XNLYg$e,MEETING ROOM 6P,Level 11,24.63,,
2ntLcF1$98DQcsKvq8abj0,MEETING ROOM 6P,Level 12,24.87,,
2ntLcF1$98DQcsKvq8aYuD,MEETING ROOM 6P,Level 13,24.77,,
2ntLcF1$98DQcsKvq8adDc,MEETING ROOM 6P,Level 15,24.87,,
2ntLcF1$98DQcsKvq8acGD,MEETING ROOM 6P,Level 16,24.87,,
2ntLcF1$98DQcsKvq8afV$,MEETING ROOM 6P,Level 17,24.77,,
2ntLcF1$98DQcsKvq8aeQu,MEETING ROOM 6P,Level 18,24.63,,
2ntLcF1$98DQcsKvq8aeQr,MEETING ROOM 6P,Level 18,24.87,,
2ntLcF1$98DQcsKvq8aeQt,MEETING ROOM 6P,Level 18,24.87,,
2ntLcF1$98DQcsKvq8ahId,MEETING ROOM 6P,Level 19,24.87,,
2ntLcF1$98DQcsKvq8ahIW,MEETING ROOM 6P,Level 19,25.54,,
